service_id,date,exception_type
246071524607296,20250208,1
246071124607212,20250204,1
246071124607214,20250206,1
246073224607634,20250306,1
246073224607633,20250312,1
246073224607635,20250321,1
246071624607657,20250323,1
246073024607307,20250223,1
246075824607587,20250323,1
246076424607646,20250329,1
246075024607646,20250329,1
246073024607587,20250302,1
246073024607587,20250323,1
246071624607227,20250209,1
246072324607295,20250221,1
246073024607504,20250306,1
246073024607507,20250309,1
246073024607501,20250310,1
246075924607646,20250329,1
246072524607283,20250219,1
246073124607632,20250225,1
246073124607632,20250304,1
246073124607635,20250314,1
246071024607204,20250206,1
246071024607204,20250213,1
246073124607621,20250324,1
246071424607635,20250221,1
246071424607635,20250321,1
246071424607635,20250328,1
246073124607353,20250226,1
246073824607633,20250305,1
246073824607634,20250306,1
246073824607635,20250307,1
246073824607631,20250310,1
246073824607631,20250317,1
246073824607632,20250325,1
246075824607647,20250323,1
246075824607646,20250329,1
246071024607143,20250205,1
246071624607211,20250210,1
246072424607281,20250217,1
246073024607427,20250302,1
246073024607423,20250305,1
246074524607493,20250312,1
246075924607633,20250326,1
246073024607432,20250225,1
246073024607437,20250302,1
246073024607433,20250305,1
246073024607362,20250225,1
246073724607427,20250302,1
246071624607363,20250212,1
246071624607364,20250213,1
246071624607365,20250221,1
246071624607366,20250222,1
246071624607361,20250224,1
246075224607572,20250318,1
246075824607643,20250326,1
246075124607644,20250327,1
246073724607587,20250309,1
246073724607587,20250316,1
246072124607635,20250314,1
246072624607273,20250219,1
246072624607274,20250220,1
246073224607624,20250306,1
246073224607624,20250320,1
246073224607622,20250325,1
246073224607623,20250326,1
246072224607996,20250301,1
246072324607937,20250330,1
246072324607937,20250427,1
246071824607952,20250304,1
246071824607952,20250415,1
246071924607753,20250409,1
246072024607764,20250213,1
246073124607941,20250331,1
246073124607941,20250428,1
246079024607974,20250424,1
246072424607941,20250310,1
246072424607941,20250331,1
246071824607742,20250318,1
246072024607974,20250501,1
246074324607506,20250315,1
246072424607291,20250217,1
246071524607576,20250208,1
246071524607576,20250301,1
246073024607576,20250301,1
246073024607577,20250316,1
246072324607247,20250216,1
246073024607646,20250301,1
246073024607642,20250225,1
246073024607645,20250228,1
246071624607645,20250228,1
246071624607647,20250302,1
246071624607644,20250320,1
246071624607646,20250322,1
246071424607646,20250222,1
246071424607645,20250228,1
246071424607645,20250321,1
246071424607645,20250328,1
246071624607201,20250210,1
246073024607621,20250224,1
246072924607436,20250308,1
246071124607215,20250207,1
246073224607634,20250313,1
246073224607635,20250314,1
246073224607632,20250325,1
246071624607657,20250330,1
246072724607274,20250220,1
246074424607447,20250309,1
246075024607576,20250322,1
246071624607167,20250209,1
246075124607587,20250323,1
246071524607366,20250215,1
246074424607587,20250309,1
246073024607507,20250302,1
246073024607505,20250307,1
246073024607506,20250315,1
246075924607644,20250327,1
246071024607211,20250203,1
246071024607214,20250213,1
246073124607632,20250311,1
246072524607272,20250218,1
246073124607623,20250305,1
246073124607623,20250326,1
246071424607635,20250228,1
246075724607646,20250329,1
246073824607632,20250318,1
246073824607635,20250328,1
246071424607215,20250214,1
246071624607237,20250209,1
246072824607635,20250307,1
246072424607283,20250219,1
246073024607427,20250223,1
246073024607425,20250228,1
246073024607422,20250304,1
246073024607424,20250306,1
246075924607634,20250327,1
246073024607435,20250307,1
246075224607565,20250321,1
246073724607422,20250304,1
246071624607367,20250209,1
246071624607363,20250219,1
246071624607363,20250226,1
246075224607573,20250319,1
246075224607576,20250322,1
246075824607641,20250324,1
246072924607646,20250315,1
246072224607226,20250215,1
246073124607591,20250324,1
246071124607202,20250204,1
246071124607204,20250206,1
246073224607623,20250312,1
246071824607952,20250318,1
246071924607753,20250226,1
246071924607753,20250402,1
246072024607764,20250320,1
246072024607764,20250327,1
246072124607985,20250221,1
