from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246075124607517+1164601+0,246073724607587+1164092+0,1,
33,33,,,246075124607517+1164688+0,246073024607587+1161421+0,1,
33,33,,,246075724607576+1164717+0,246075024607576+1164153+0,1,
33,33,,,246075024607506+1164743+0,246075024607576+1164182+0,1,
33,33,,,246075124607517+1164744+0,246073024607587+1164176+0,1,
33,33,,,246073624607366+1164767+0,246073624607366+1164214+0,1,
33,33,,,246075024607506+1164771+0,246075024607576+1164218+0,1,
33,33,,,246071524607226+1164814+0,246071524607226+1164274+0,1,
33,33,,,246071624607167+1164815+0,246071624607167+1164275+0,1,
33,33,,,246075124607517+1164825+0,246073024607587+1164275+0,1,
33,33,,,246072424607241+1164831+0,246072424607241+1162741+0,1,
33,33,,,246071024607201+1159619+0,246071024607201+1159445+1,1,
33,33,,,246071024607202+1159619+0,246071024607202+1159445+1,1,
33,33,,,246071024607203+1159619+0,246071024607203+1159445+1,1,
33,33,,,246071024607204+1159619+0,246071024607204+1159445+1,1,
33,33,,,246073124607622+1159619+0,246073124607622+1159445+1,1,
33,33,,,246071024607201+1159625+1,246071024607201+1159457+1,1,
33,33,,,246073124607621+1159631+1,246073124607621+1159460+1,1,
33,33,,,246073124607622+1159631+1,246073124607622+1159460+1,1,
33,33,,,246071024607204+1159631+1,246071024607204+1159464+1,1,
33,33,,,246071424607635+1159632+1,246071424607635+1159461+1,1,
33,33,,,246071024607203+1159635+1,246071024607203+1159468+1,1,
33,33,,,246072524607272+1159635+1,246072524607272+1159468+1,1,
33,33,,,246073124607623+1159635+1,246073124607623+1159468+1,1,
33,33,,,246072524607272+1159637+1,246072524607282+1159491+1,1,
33,33,,,246071424607635+1159638+1,246072524607285+1159491+1,1,
33,33,,,246073124607621+1159649+1,246073124607621+1159498+1,1,
33,33,,,246073124607623+1159649+1,246073124607623+1159498+1,1,
33,33,,,246071024607204+1159655+1,246071024607204+1159502+1,1,
33,33,,,246072524607273+1159655+1,246072524607273+1159502+1,1,
33,33,,,246073124607623+1159655+1,246073124607623+1159502+1,1,
33,33,,,246073124607624+1159655+1,246073124607624+1159502+1,1,
33,33,,,246071424607635+1159656+1,246071424607635+1159503+1,1,
33,33,,,246073124607624+1159657+1,246073124607624+1159502+1,1,
33,33,,,246073124607623+1159660+1,246073124607623+1159504+1,1,
33,33,,,246073124607624+1159660+1,246073124607624+1159504+1,1,
33,33,,,246071024607202+1159668+1,246071024607202+1159516+1,1,
33,33,,,246071024607202+1159672+0,246071024607202+1158234+0,1,
33,33,,,246071424607635+1159673+0,246071424607635+1158235+0,1,
33,33,,,246073124607624+1159680+0,246073124607624+1159528+0,1,
33,33,,,246071024607204+1159692+0,246071024607204+1159538+0,1,
33,33,,,246073124607622+1159692+0,246073124607622+1159538+0,1,
33,33,,,246071024607201+1159694+0,246071024607201+1159544+0,1,
33,33,,,246072524607274+1159699+0,246072524607274+1159550+0,1,
33,33,,,246073124607623+1159699+0,246073124607623+1159550+0,1,
33,33,,,246071024607201+1159840+0,246071024607201+1159564+0,1,
33,33,,,246072524607272+1159840+0,246072524607272+1159564+0,1,
33,33,,,246072524607272+1159936+0,246072524607272+1159568+0,1,
33,33,,,246071024607201+1160000+0,246071024607201+1159572+0,1,
33,33,,,246071024607203+1160000+0,246071024607203+1159572+0,1,
33,33,,,246073124607622+1160015+0,246073124607622+1159574+0,1,
33,33,,,246071524607646+1160021+0,246071524607226+1163868+0,1,
33,33,,,246071024607202+1160185+0,246071024607202+1159584+0,1,
33,33,,,246071024607204+1160185+0,246071024607204+1159584+0,1,
33,33,,,246072524607273+1160185+0,246072524607273+1159584+0,1,
33,33,,,246072524607273+1160242+0,246072524607273+1159590+0,1,
33,33,,,246071024607201+1160257+0,246071124607202+1159609+0,1,
33,33,,,246074324607436+1164335+0,246071524607646+1159727+0,1,
33,33,,,246071524607226+1164377+0,246071524607646+1159749+0,1,
33,33,,,246072924607296+1164381+0,246071524607646+1159749+0,1,
33,33,,,246075824607587+1164390+0,246073024607587+1159750+0,1,
33,33,,,246076424607646+1164404+0,246076424607646+1163950+0,1,
33,33,,,246071624607167+1164405+0,246071624607167+1163951+0,1,
33,33,,,246071524607226+1164438+0,246071524607646+1159775+0,1,
33,33,,,246073024607307+1164480+0,246073024607307+1163986+0,1,
33,33,,,246071524607226+1164503+0,246071524607226+1163715+0,1,
33,33,,,246076424607646+1164503+0,246075024607646+1163715+0,1,
33,33,,,246075124607517+1164514+0,246075124607587+1163716+0,1,
33,33,,,246075824607587+1164516+0,246075124607587+1163716+0,1,
33,33,,,246075824607587+1164543+0,246075124607587+1164032+0,1,
33,33,,,246074324607436+1164566+0,246074324607436+1164064+0,1,
33,33,,,246074424607447+1164567+0,246074424607447+1164065+0,1,
33,33,,,246071624607167+1164591+0,246071624607167+1164092+0,1,
33,33,,,246074324607436+1164598+0,246074324607436+1164098+0,1,
33,33,,,246073024607307+1164643+0,246073024607307+1163736+0,1,
33,33,,,246071524607226+1164677+0,246071524607646+1161420+0,1,
33,33,,,246073024607307+1164682+0,246073024607587+1161421+0,1,
33,33,,,246074324607436+1164685+0,246071524607646+1161420+0,1,
33,33,,,246071624607167+1164734+0,246071624607167+1164176+0,1,
33,33,,,246072424607241+1164736+0,246072424607241+1164178+0,1,
33,33,,,246075124607517+1164762+0,246075124607587+1164219+0,1,
33,33,,,246072424607241+1164764+0,246072424607241+1164211+0,1,
33,33,,,246075724607576+1164799+0,246075024607646+1164239+0,1,
33,33,,,246076424607646+1164814+0,246076424607646+1164274+0,1,
33,33,,,246075724607576+1164826+0,246075024607576+1164281+0,1,
33,33,,,246072324607237+1164830+0,246072324607237+1162740+0,1,
33,33,,,246072924607296+1164832+0,246071524607366+1162738+0,1,
33,33,,,246073124607623+1159619+0,246073124607623+1159445+1,1,
33,33,,,246072524607273+1159631+1,246072524607273+1159460+1,1,
33,33,,,246073124607624+1159631+1,246073124607624+1159460+1,1,
33,33,,,246071024607201+1159631+1,246071024607201+1159464+1,1,
33,33,,,246071424607635+1159632+1,246071424607635+1159465+1,1,
33,33,,,246073124607622+1159635+1,246073124607622+1159468+1,1,
33,33,,,246071024607203+1159637+1,246071024607213+1159491+1,1,
33,33,,,246071024607204+1159637+1,246071024607214+1159491+1,1,
33,33,,,246073124607624+1159637+1,246073124607634+1159491+1,1,
33,33,,,246072524607272+1159649+1,246072524607272+1159498+1,1,
33,33,,,246072524607273+1159649+1,246072524607273+1159498+1,1,
33,33,,,246072524607274+1159649+1,246072524607274+1159498+1,1,
33,33,,,246072524607272+1159657+1,246072524607272+1159502+1,1,
33,33,,,246072524607273+1159657+1,246072524607273+1159502+1,1,
33,33,,,246072524607274+1159657+1,246072524607274+1159502+1,1,
33,33,,,246073124607623+1159657+1,246073124607623+1159502+1,1,
33,33,,,246072524607274+1159660+1,246072524607274+1159504+1,1,
33,33,,,246073124607623+1159664+1,246073124607623+1159512+1,1,
33,33,,,246071024607201+1159668+1,246071024607201+1159516+1,1,
33,33,,,246071024607203+1159668+1,246071024607203+1159516+1,1,
33,33,,,246071024607204+1159668+1,246071024607204+1159516+1,1,
33,33,,,246073124607624+1159672+0,246073124607624+1158234+0,1,
33,33,,,246071024607202+1159674+0,246071024607202+1159522+0,1,
33,33,,,246073124607624+1159674+0,246073124607624+1159522+0,1,
33,33,,,246071024607201+1159686+0,246071024607201+1159532+0,1,
33,33,,,246072524607272+1159686+0,246072524607272+1159532+0,1,
33,33,,,246072524607274+1159686+0,246072524607274+1159532+0,1,
33,33,,,246072524607274+1159694+0,246072524607274+1159544+0,1,
33,33,,,246073124607622+1159699+0,246073124607622+1159550+0,1,
33,33,,,246071024607202+1159703+0,246071024607202+1159558+0,1,
33,33,,,246073124607621+1159703+0,246073124607621+1159558+0,1,
33,33,,,246073124607623+1159703+0,246073124607623+1159558+0,1,
33,33,,,246072524607273+1159840+0,246072524607273+1159564+0,1,
33,33,,,246073124607622+1159840+0,246073124607622+1159564+0,1,
33,33,,,246071024607204+1159936+0,246071024607204+1159568+0,1,
33,33,,,246073124607624+1159936+0,246073124607624+1159568+0,1,
33,33,,,246073124607621+1160015+0,246073124607621+1159574+0,1,
33,33,,,246072524607273+1160058+0,246072524607273+1159578+0,1,
33,33,,,246071024607201+1160185+0,246071024607201+1159584+0,1,
33,33,,,246072524607272+1160185+0,246072524607272+1159584+0,1,
33,33,,,246073124607622+1160185+0,246073124607622+1159584+0,1,
33,33,,,246073124607624+1160185+0,246073124607624+1159584+0,1,
33,33,,,246072524607274+1160242+0,246072524607274+1159590+0,1,
33,33,,,246071424607635+1160243+0,246071424607635+1159591+0,1,
33,33,,,246071024607202+1160246+0,246071024607202+1159594+0,1,
33,33,,,246073124607621+1160248+0,246073124607621+1159598+0,1,
33,33,,,246071024607203+1160257+0,246071124607204+1159609+0,1,
33,33,,,246076424607646+1164327+0,246071524607646+1159727+0,1,
33,33,,,246072424607241+1164330+0,246072424607241+1159730+0,1,
33,33,,,246073724607377+1164334+0,246073024607587+1159728+0,1,
33,33,,,246073024607307+1164382+0,246073024607587+1159750+0,1,
33,33,,,246075024607506+1164387+0,246071524607646+1159749+0,1,
33,33,,,246072424607241+1164407+0,246072424607241+1163953+0,1,
33,33,,,246074424607447+1164413+0,246073024607587+1163951+0,1,
33,33,,,246075024607506+1164414+0,246075024607576+1163957+0,1,
33,33,,,246072924607296+1164442+0,246071524607646+1159775+0,1,
33,33,,,246074324607436+1164446+0,246071524607646+1159775+0,1,
33,33,,,246075024607506+1164448+0,246071524607646+1159775+0,1,
33,33,,,246072424607241+1164478+0,246072424607241+1163984+0,1,
33,33,,,246072924607296+1164507+0,246072924607296+1163719+0,1,
33,33,,,246074424607447+1164512+0,246074424607447+1163722+0,1,
33,33,,,246073724607377+1164538+0,246073724607377+1164028+0,1,
33,33,,,246076424607646+1164558+0,246076424607646+1164056+0,1,
33,33,,,246072324607237+1164560+0,246072324607237+1164058+0,1,
33,33,,,246073724607377+1164565+0,246073724607377+1164063+0,1,
33,33,,,246073024607307+1164595+0,246073024607307+1164096+0,1,
33,33,,,246071624607167+1164639+0,246071624607167+1163732+0,1,
33,33,,,246072324607237+1164640+0,246072324607237+1163733+0,1,
33,33,,,246074324607436+1164646+0,246074324607436+1163737+0,1,
33,33,,,246075824607587+1164651+0,246075124607587+1163732+0,1,
33,33,,,246076424607646+1164677+0,246071524607646+1161420+0,1,
33,33,,,246071624607167+1164678+0,246071624607167+1161421+0,1,
33,33,,,246073624607366+1164683+0,246071524607646+1161420+0,1,
33,33,,,246071624607167+1164706+0,246071624607167+1164144+0,1,
33,33,,,246073024607307+1164710+0,246073024607307+1164148+0,1,
33,33,,,246072324607237+1164735+0,246072324607237+1164177+0,1,
33,33,,,246074324607436+1164741+0,246074324607436+1164181+0,1,
33,33,,,246075724607576+1164745+0,246075024607576+1164182+0,1,
33,33,,,246075724607576+1164772+0,246075024607576+1164218+0,1,
33,33,,,246073724607377+1164794+0,246073724607377+1164246+0,1,
33,33,,,246075824607587+1164800+0,246075124607587+1164249+0,1,
33,33,,,246072324607237+1164816+0,246072324607237+1164276+0,1,
